question,options,answer,multiple
"Uma empresa está planejando usar o AWS CodeDeploy para implantar uma aplicação no Amazon Elastic Container Service (Amazon ECS). Durante a implantação de uma nova versão da aplicação, a empresa inicialmente deve expor apenas 10% do tráfego vivo à nova versão da aplicação implantada. Depois, após 15 minutos, a empresa deve encaminhar todo o tráfego vivo restante para a nova versão do aplicativo implantado. Qual configuração pré-definida do CodeDeploy atenderá a esses requisitos?","['CodeDeployDefault.ECSCanary10Percent15Minutes','CodeDeployDefault.LambdaCanary10Percent5Minutes','CodeDeployDefault.LambdaCanary10Percent15Minutes','CodeDeployDefault.ECSLinear10PercentEvery1Minute']","['CodeDeployDefault.ECSCanary10Percent15Minutes']",False
"Um desenvolvedor quer depurar uma aplicação pesquisando e filtrando dados de log. Os logs de aplicação são armazenados no Amazon CloudWatch Logs. O desenvolvedor cria um novo filtro de métrica para contar exceções nos logs da aplicação. No entanto, nenhum resultado é retornado dos registros. Qual é o motivo pelo qual nenhum resultado filtrado está sendo retornado?","['O grupo de logs para os CloudWatch Logs deve ser primeiro transmitido para o Amazon OpenSearch Service antes que o filtro métrico retorne os resultados.','Os pontos de dados métricos para grupos de logs só podem ser filtrados após serem exportados para um bucket Amazon S3.','É necessária uma configuração do endpoint VPC da interface Amazon CloudWatch para filtrar os CloudWatch Logs na VPC.','O CloudWatch Logs só publica dados métricos para eventos que acontecem após a criação do filtro.']","['O CloudWatch Logs só publica dados métricos para eventos que acontecem após a criação do filtro.']",False
"Uma empresa está planejando implantar uma aplicação na AWS atrás de um Elastic Load Balancer. A aplicação utiliza um ouvinte HTTP/HTTPS e deve acessar os endereços IP dos clientes. Qual solução de balanceamento de carga atende a esses requisitos?","['Use um Application Load Balancer e os cabeçalhos X-Forwarded-For.','Use um Network Load Balancer (NLB). Ative o suporte ao Proxy Protocol no NLB e na aplicação alvo.','Use um load balancer de aplicação (ALB) e registre alvos por ID da instância.','Use um Network Load Balancer e os cabeçalhos X-Forwarded-For.']","['Use um Application Load Balancer e os cabeçalhos X-Forwarded-For.']",False
"Uma aplicação em desenvolvimento precisa armazenar centenas de arquivos de vídeo. Os dados devem ser criptografados dentro do aplicativo antes do armazenamento, com uma chave única para cada arquivo de vídeo. Como o desenvolvedor deve programar a aplicação?","['Use a API KMS GenerateDataKey para obter uma chave de dados. Criptografe os dados com a chave de dados. Armazene a chave de dados criptografada e os dados.','Use a API de criptografia KMS para criptografar os dados diretamente e armazenar a chave e os dados.','Use uma biblioteca de criptografia para gerar uma chave gerenciada pela aplicação e armazenar os dados criptografados.','Use criptografia do lado do servidor no S3 com uma chave KMS (SSE-KMS).']","['Use a API KMS GenerateDataKey para obter uma chave de dados. Criptografe os dados com a chave de dados. Armazene a chave de dados criptografada e os dados.']",False
"Um desenvolvedor implantou um aplicativo em uma instância Amazon EC2. O aplicativo precisa conhecer o endereço público IPv4 da instância. Como a aplicação pode encontrar essas informações?","['Verifique o arquivo hosts do sistema operacional.','Consulte os dados do usuário da instância a partir de http://169.254.169.254/latest/user-data/','Consulte os metadados da instância em http://169.254.169.254/latest/meta-data/','Consulte as informações de AMI em http://169.254.169.254/latest/meta-data/ami/']","['Consulte os metadados da instância em http://169.254.169.254/latest/meta-data/']",False
"Uma empresa roda uma aplicação na AWS em EC2 e armazena dados em Amazon Aurora. O aplicativo registrou múltiplos erros personalizados DECRYP_ERROR nos logs do CloudWatch; a empresa não detectou até testes falharem. Qual solução implementa monitoramento dos erros personalizados e alerta em tempo real com mínimo custo operacional?","['Use CloudWatch Logs para criar um filtro métrico para o padrão DECRYP_ERROR e crie um alarme CloudWatch que publique em um tópico SNS quando >=1.','Instale o CloudWatch unified agent e configure o app para gerar uma métrica personalizada e enviar SNS (via agente).','Crie uma função Lambda que rode a cada 5 minutos e escaneie logs CloudWatch em busca de DECRYP_ERROR e envie SNS.','Configure o aplicativo para criar uma métrica personalizada e crie um alarme do CloudTrail.']","['Use CloudWatch Logs para criar um filtro métrico para o padrão DECRYP_ERROR e crie um alarme CloudWatch que publique em um tópico SNS quando >=1.']",False
"Um desenvolvedor criou uma VPC chamada VPC-A com sub-redes públicas e privadas. Criou um banco de dados RDS na sub-rede privada. Para consultas, criou uma função Lambda na VPC padrão que acessa o RDS, mas a Lambda não consegue conectar. Como resolver o problema?","['Crie um grupo de segurança para a função Lambda e adicione uma regra no security group do RDS para permitir tráfego vindo do security group da Lambda.','Modificar o security group do RDS para permitir tráfego de todas as portas do bloco CIDR da VPC.','Reimplante a Lambda na mesma sub-rede da instância RDS e ajuste security group.','Crie um papel IAM que permita acesso ao RDS e anexe à Lambda.']","['Crie um grupo de segurança para a função Lambda e adicione uma regra no security group do RDS para permitir tráfego vindo do security group da Lambda.']",False
"Um desenvolvedor está trabalhando com uma tabela DynamoDB com atributos partNumber (partition key), vendor (sort key), description, productFamily e productType. Aplicações frequentemente consultam por productFamily e productType. Qual solução melhora o desempenho das consultas?","['Criar um Global Secondary Index (GSI) com productFamily como partition key e productType como sort key.','Criar um Local Secondary Index (LSI) com productFamily como partition key e productType como sort key.','Recriar a tabela alterando a key schema principal e adicionar um LSI para productFamily/productType.','Modificar as consultas para usar Scan com filtros productFamily e productType.']","['Criar um Global Secondary Index (GSI) com productFamily como partition key e productType como sort key.']",False
"Um engenheiro criou um teste A/B em CloudWatch Evidently com Variação A e Variação B. O engenheiro quer que somente Variação A apareça para ele ao acessar o endpoint. Como fazer isso?","['Adicionar uma override (substituição) no feature: definir o entity id como o ID de usuário do engenheiro e a variação para Variação A.','Adicionar uma substituição definindo o identificador da substituição como Variação A e variação 100%.','Adicionar um experimento ao projeto com identificador igual à conta AWS e variação definida para A.','Adicionar um experimento com identificador Variação B e variação 0%.']","['Adicionar uma override (substituição) no feature: definir o entity id como o ID de usuário do engenheiro e a variação para Variação A.']",False
"BatchGetItem no DynamoDB frequentemente retorna UnprocessedKeys. Quais ações devem ser tomadas para aumentar a resiliência da aplicação quando a resposta inclui UnprocessedKeys? (Escolha dois)","['Retentar imediatamente a operação em lote (sem atraso).','Atualizar a aplicação para usar um AWS SDK para fazer solicitações.','Aumentar a capacidade de leitura provisionada das tabelas acessadas pela operação.','Aumentar a capacidade de escrita provisionada das tabelas acessadas.','Tentar novamente a operação em lote com backoff exponencial e jitter (delay aleatório).']","['Atualizar a aplicação para usar um AWS SDK para fazer solicitações.','Tentar novamente a operação em lote com backoff exponencial e jitter (delay aleatório).']",True
"Configurar CodePipeline (fonte em GitHub) e garantir execução de testes unitários do repositório no ambiente de implantação. Quais passos devem ser tomados a seguir com mínimo custo administrativo? (Escolha dois)","['Criar um projeto AWS CodeBuild e adicionar comandos de build/test à spec do projeto.','Adicionar um novo stage ao pipeline após o stage Source; adicionar uma ação usando o projeto CodeBuild; especificar o artifact Source como input.','Adicionar uma ação no stage Source que use o projeto CodeBuild e especifique o artifact Build como input.','Criar um projeto AWS CodeCommit com comandos de build/test.']","['Criar um projeto AWS CodeBuild e adicionar comandos de build/test à spec do projeto.','Adicionar um novo stage ao pipeline após o stage Source; adicionar uma ação usando o projeto CodeBuild; especificar o artifact Source como input.']",True
"Em um ambiente serverless com Lambdas, precisa-se criar eventos de teste compartilháveis e editáveis por todos desenvolvedores de um grupo IAM. Qual solução atende?","['Criar os eventos de teste no console Lambda e configurar o compartilhamento como Shareable (compartilhável).','Criar e armazenar os eventos de teste no Amazon S3 e permitir acesso a todos via policies.','Armazenar eventos de teste no DynamoDB e controlar acesso com IAM roles.','Criar eventos de teste e torná-los privados nas configurações de compartilhamento.']","['Criar os eventos de teste no console Lambda e configurar o compartilhamento como Shareable (compartilhável).']",False
"API Gateway + Lambda + RDS MySQL (2 vCPU, 64GB RAM) apresenta erros HTTP 500 por 'too many connections' em picos imprevisíveis; banco não pode ficar indisponível fora da janela de manutenção. Qual solução tornará a aplicação resiliente?","['Usar Amazon RDS Proxy e atualizar a Lambda para conectar ao proxy.','Adicionar uma regra EventBridge que aumente max_connections quando CPU >75%.','Adicionar alarme CloudWatch que altere a classe de instância quando conexões >1000.','Diminuir número de vCPUs e aumentar max_connections.']","['Usar Amazon RDS Proxy e atualizar a Lambda para conectar ao proxy.']",False
"Qual a forma mais eficiente de manter o nome da tabela DynamoDB não codificado na Lambda para quando o nome mudar?","['Criar uma variável de ambiente Lambda com o nome da tabela e ler via código em runtime.','Colocar o nome em /tmp em um arquivo e ler via SDK.','Criar uma variável global fora do handler para armazenar o nome da tabela.','Colocar o nome na Lambda Layer e ler via SDK.']","['Criar uma variável de ambiente Lambda com o nome da tabela e ler via código em runtime.']",False
"Para permitir que funções Lambda acessem um cluster Aurora privado na mesma conta/região sem passar pela internet pública, qual configuração é necessária?","['Configurar VPC, sub-redes e security groups apropriados para as funções Lambda.','Configurar gateway NAT para as Lambdas e um grupo de segurança.','Tornar o cluster de banco público (publicly accessible).','Configurar Amazon RDS Proxy para as Lambdas.']","['Configurar VPC, sub-redes e security groups apropriados para as funções Lambda.']",False
"Como garantir que nenhuma PII saia das instâncias EC2 ao integrar AWS X-Ray, quando traces incluem PII criptografada que vai para CloudWatch?","['Instrumentar manualmente o SDK do X-Ray no código da aplicação e controlar o que é enviado.','Usar o agente de auto-instrumentação X-Ray.','Usar Amazon Macie para detectar e mascarar PII e então enviar traces via Lambda X-Ray API.','Usar AWS Distro for OpenTelemetry e filtrar antes do envio.']","['Instrumentar manualmente o SDK do X-Ray no código da aplicação e controlar o que é enviado.']",False
"Elastic Beanstalk com Auto ScalingDesired=5 sofre degradação se capacidade ficar abaixo de 4 durante deploy; usando all-at-once. Qual a forma mais econômica de resolver o problema?","['Mudar Auto Scaling desired para 6 instâncias.','Mudar a política de implantação para rolling with additional batch e batch size 1.','Mudar a política para rolling com batch size 2.','Mudar para traffic splitting com tempo de avaliação de 1 hora.']","['Mudar a política de implantação para rolling with additional batch e batch size 1.']",False
"Aplicação web gera relatórios únicos por cliente (alguns >1 MB), disponibiliza em até 1 hora, acessíveis por 8 horas, deletar relatórios >2 dias. Qual solução com mínimo custo operacional?","['Gerar relatórios e armazenar em S3 com SSE; gerar URLs pré-assinadas com expiração; fornecer URL via app; usar Lifecycle rules no S3 para deletar relatórios antigos.','Armazenar relatórios em RDS e agendar Lambda para deletar registros expirados.','Armazenar relatórios em DynamoDB com TTL e servir via URL.','Anexar ao SNS e notificar por email; armazenar em S3.']","['Gerar relatórios e armazenar em S3 com SSE; gerar URLs pré-assinadas com expiração; fornecer URL via app; usar Lifecycle rules no S3 para deletar relatórios antigos.']",False
"E-commerce usa Lambda assíncrona por API Gateway para processar pedidos; às vezes pedidos não são processados e logs Lambda não mostram erros. O que fazer?","['Inspecionar logs frontend e reexecutar a API manualmente.','Criar e inspecionar a Dead Letter Queue (DLQ) da Lambda; solucionar funções que falharam; reprocessar eventos.','Inspecionar logs da Lambda no CloudWatch; corrigir erros.','Garantir que cache esteja desativado para o método POST no API Gateway.']","['Criar e inspecionar a Dead Letter Queue (DLQ) da Lambda; solucionar funções que falharam; reprocessar eventos.']",False
"Em um template CloudFormation, como incorporar a lista aprovada de tipos de instância EC2 para seleção durante deployment?","['No template CloudFormation, criar um parâmetro com a lista de tipos de instância EC2 como AllowedValues.','Criar um template separado para cada tipo de instância.','Na seção Resources criar recursos para cada tipo de instância.','Criar um parâmetro separado para cada tipo de instância.']","['No template CloudFormation, criar um parâmetro com a lista de tipos de instância EC2 como AllowedValues.']",False
"No AWS Amplify Hosting, qual a forma correta de adicionar testes ponta a ponta ao pipeline de build para reduzir bugs antes da produção?","['Adicionar uma fase de teste às configurações de build no arquivo amplify.yml.','Criar testes unitários e usar amplify push para implantá-los.','Adicionar uma fase de teste ao aws-exports.js.','Executar amplify add test na CLI.']","['Adicionar uma fase de teste às configurações de build no arquivo amplify.yml.']",False
"Em pipeline CI/CD com ECR, EKS e CodePipeline, onde executar a verificação de imagem (scan) o mais cedo possível com maior eficiência operacional?","['Criar um novo stage do CodePipeline que ocorra após a construção da imagem (após build) e configurar ECR image scan on push; usar Lambda para validar resultados e falhar o pipeline.','Adicionar uma ação na etapa de deploy antes da implantação no EKS que rode o scan e valide via Lambda.','Executar scanner de segurança no código-fonte no stage inicial.','Executar docker scan local com pre-commit hook.']","['Criar um novo stage do CodePipeline que ocorra após a construção da imagem (após build) e configurar ECR image scan on push; usar Lambda para validar resultados e falhar o pipeline.']",False
"Kinesis stream -> Lambda apresenta iterator age e duração alta. Quais ações aumentam o throughput e processamento? (Escolha dois)","['Aumente o número de shards do fluxo Kinesis.','Diminua o timeout da função Lambda.','Diminua o número de shards do fluxo Kinesis.','Aumente a memória alocada à função Lambda.','Aumente o timeout da função Lambda.']","['Aumente o número de shards do fluxo Kinesis.','Aumente a memória alocada à função Lambda.']",True
"Jogo usa DynamoDB com partition key = country; pico em um país causa ProvisionedThroughputExceededException. O que deve ser feito?","['Revisar a chave primária para usar mais identificadores únicos (evitar hotspot por country).','Usar leitura fortemente consistente.','Usar operação Scan para contornar problema.','Usar paginação para reduzir tamanho de itens retornados.']","['Revisar a chave primária para usar mais identificadores únicos (evitar hotspot por country).']",False
"Como habilitar CloudWatch Logs Insights para funções Lambda em um template AWS SAM que inclui um recurso CloudWatchLogGroup?","['Para cada função Lambda, adicionar a Lambda Insights extension layer e anexar a política gerenciada AWSCloudWatchLambdaInsightsExecutionRolePolicy.','Adicionar um parâmetro CloudWatchLogGroupNamePrefix e referenciar no recurso CloudWatchLogGroup.','Adicionar uma saída CloudWatchinsightRule com o ARN do CloudWatchLogGroup.','Definir tracing mode como Active para cada Lambda e anexar AWSCloudWatchLambdaInsightsExecutionRolePolicy.']","['Para cada função Lambda, adicionar a Lambda Insights extension layer e anexar a política gerenciada AWSCloudWatchLambdaInsightsExecutionRolePolicy.']",False
"Aplicação na Conta A precisa decodificar um segredo do Secrets Manager da Conta B que é protegido por uma KMS key da Conta B. Quais ações mínimas (least privilege) devem ser concedidas na key policy KMS da Conta B ao role da Conta A?","['kms:Decrypt e kms:DescribeKey','kms:*','secretsmanager:*','secretsmanager:DescribeSecret e secretsmanager:GetSecretValue']","['kms:Decrypt e kms:DescribeKey']",False
"Qual estratégia de implantação permite testar um novo recurso com um pequeno grupo de usuários enquanto a versão atual permanece implantada e, se validado, implantar a nova versão para todos ao mesmo tempo?","['Canary deployment','All at once deployment','In-place deployment','Linear deployment']","['Canary deployment']",False
"Bucket S3 versionado precisa manter apenas a versão atual e a versão imediatamente anterior de cada objeto. Qual solução atende o requisito?","['Configurar uma regra de lifecycle do S3 para manter a versão mais recente e a imediatamente anterior.','Ativar S3 Object Lock e configurar uma política de retenção para manter duas versões.','Configurar uma bucket policy para manter duas versões.','Suspender versioning e controlar versões na aplicação.']","['Configurar uma regra de lifecycle do S3 para manter a versão mais recente e a imediatamente anterior.']",False
"Como recuperar pedidos com accountId = 100 de uma tabela DynamoDB que tem um GSI accountIndex (partition key accountId, sort key orderDateTime) usando a menor capacidade de leitura?","['Query no GSI accountIndex com KeyConditionExpression accountId = 100','BatchGetItem','GetItem','Scan']","['Query no GSI accountIndex com KeyConditionExpression accountId = 100']",False
